/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

          1.09G  25%   60.01MB/s    0:00:55  
          1.16G  27%   56.29MB/s    0:00:57  
          1.22G  28%   59.38MB/s    0:00:53  
          1.28G  30%   56.61MB/s    0:00:55  
          1.34G  31%   60.49MB/s    0:00:50  
          1.41G  32%   59.64MB/s    0:00:50  
          1.47G  34%   60.40MB/s    0:00:48  
          1.53G  35%   60.39MB/s    0:00:47  
          1.59G  37%   60.17MB/s    0:00:46  
          1.66G  38%   60.42MB/s    0:00:45  
          1.71G  40%   60.16MB/s    0:00:44  
          1.78G  41%   60.20MB/s    0:00:43  
          1.84G  43%   59.94MB/s    0:00:42  
          1.91G  44%   59.78MB/s    0:00:41  
          1.96G  45%   59.87MB/s    0:00:40  
          2.03G  47%   59.74MB/s    0:00:39  
          2.09G  48%   57.06MB/s    0:00:40  
          2.16G  50%   58.42MB/s    0:00:37  
          2.22G  51%   60.08MB/s    0:00:35  
          2.27G  53%   52.94MB/s    0:00:39  
          2.35G  54%   62.77MB/s    0:00:32  
          2.41G  56%   59.89MB/s    0:00:32  
          2.46G  57%   59.69MB/s    0:00:31  
          2.51G  58%   62.73MB/s    0:00:29  
          2.58G  60%   59.82MB/s    0:00:29  
          2.64G  61%   56.71MB/s    0:00:30  
          2.71G  63%   59.60MB/s    0:00:27  
          2.76G  64%   59.90MB/s    0:00:26  
          2.83G  66%   59.98MB/s    0:00:25  
          2.89G  67%   60.00MB/s    0:00:24  
          2.96G  69%   59.90MB/s    0:00:23  
          3.01G  70%   59.96MB/s    0:00:22  
          3.08G  72%   59.87MB/s    0:00:20  
          3.14G  73%   59.76MB/s    0:00:19  
          3.20G  74%   57.81MB/s    0:00:19  
          3.26G  76%   60.10MB/s    0:00:17  
          3.31G  77%   57.43MB/s    0:00:17  
          3.37G  78%   60.02MB/s    0:00:15  
          3.43G  80%   59.52MB/s    0:00:14  
          3.49G  81%   59.51MB/s    0:00:13  
          3.55G  82%   59.58MB/s    0:00:12  
          3.61G  84%   59.69MB/s    0:00:11  
          3.66G  85%   60.09MB/s    0:00:10  
          3.72G  87%   59.64MB/s    0:00:09  
          3.78G  88%   60.15MB/s    0:00:08  
          3.84G  89%   58.98MB/s    0:00:07  
          3.88G  90%   55.04MB/s    0:00:07  
          3.95G  92%   57.32MB/s    0:00:05  
          4.01G  93%   56.72MB/s    0:00:04  
          4.06G  95%   57.48MB/s    0:00:03  
          4.13G  96%   62.31MB/s    0:00:02  
          4.18G  97%   59.52MB/s    0:00:01  
          4.24G  99%   59.78MB/s    0:00:00  
          4.27G 100%   70.14MB/s    0:01:02 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  68.93M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        462.09M  10%  462.06MB/s    0:00:08  
        723.34M  16%  342.96MB/s    0:00:10  
        843.31M  19%  271.33MB/s    0:00:13  
        934.34M  21%  227.05MB/s    0:00:15  
        988.09M  22%  118.18MB/s    0:00:29  
          1.05G  24%   79.69MB/s    0:00:42  
          1.09G  25%   61.84MB/s    0:00:53  
          1.16G  27%   56.85MB/s    0:00:57  
          1.22G  28%   60.61MB/s    0:00:52  
          1.28G  30%   57.61MB/s    0:00:54  
          1.34G  31%   59.67MB/s    0:00:51  
          1.41G  32%   59.83MB/s    0:00:50  
          1.46G  34%   56.66MB/s    0:00:51  
          1.54G  36%   58.62MB/s    0:00:48  
          1.59G  37%   59.16MB/s    0:00:47  
          1.65G  38%   56.83MB/s    0:00:48  
          1.71G  40%   63.79MB/s    0:00:42  
          1.77G  41%   57.86MB/s    0:00:45  
          1.82G  42%   59.07MB/s    0:00:43  
          1.88G  44%   59.06MB/s    0:00:42  
          1.94G  45%   58.23MB/s    0:00:41  
          2.00G  46%   58.90MB/s    0:00:40  
          2.06G  48%   59.87MB/s    0:00:38  
          2.11G  49%   58.71MB/s    0:00:38  
          2.16G  50%   55.65MB/s    0:00:39  
          2.23G  52%   58.58MB/s    0:00:36  
          2.29G  53%   55.90MB/s    0:00:37  
          2.35G  55%   58.70MB/s    0:00:34  
          2.41G  56%   61.15MB/s    0:00:31  
          2.47G  57%   58.72MB/s    0:00:32  
          2.53G  59%   60.79MB/s    0:00:30  
          2.58G  60%   58.83MB/s    0:00:30  
          2.64G  61%   59.08MB/s    0:00:28  
          2.70G  63%   59.09MB/s    0:00:27  
          2.76G  64%   59.14MB/s    0:00:26  
          2.82G  65%   59.20MB/s    0:00:25  
          2.87G  67%   59.08MB/s    0:00:24  
          2.93G  68%   59.69MB/s    0:00:23  
          2.99G  69%   59.21MB/s    0:00:22  
          3.05G  71%   59.59MB/s    0:00:21  
          3.11G  72%   59.58MB/s    0:00:20  
          3.16G  74%   58.85MB/s    0:00:19  
          3.22G  75%   58.84MB/s    0:00:18  
          3.28G  76%   58.96MB/s    0:00:17  
          3.35G  78%   61.03MB/s    0:00:15  
          3.39G  79%   58.19MB/s    0:00:15  
          3.44G  80%   56.14MB/s    0:00:15  
          3.49G  81%   54.53MB/s    0:00:14  
          3.55G  83%   52.93MB/s    0:00:14  
          3.61G  84%   55.61MB/s    0:00:12  
          3.67G  85%   58.27MB/s    0:00:10  
          3.73G  87%   59.88MB/s    0:00:09  
          3.78G  88%   58.96MB/s    0:00:08  
          3.84G  89%   59.47MB/s    0:00:07  
          3.90G  91%   59.55MB/s    0:00:06  
          3.96G  92%   60.28MB/s    0:00:05  
          4.02G  94%   59.57MB/s    0:00:04  
          4.07G  95%   59.46MB/s    0:00:03  
          4.13G  96%   59.21MB/s    0:00:02  
          4.19G  98%   58.17MB/s    0:00:01  
          4.25G  99%   59.19MB/s    0:00:00  
