/media/ramdisk/centos.iso > /media/pc/m2sgx/centos.iso
sending incremental file list
centos.iso

          1.90G  44%   75.45MB/s    0:00:32  
          2.01G  47%   86.20MB/s    0:00:27  
          2.10G  49%   77.90MB/s    0:00:29  
          2.23G  52%  104.72MB/s    0:00:20  
          2.36G  55%  115.74MB/s    0:00:17  
          2.47G  57%  118.44MB/s    0:00:15  
          2.57G  60%  121.41MB/s    0:00:14  
          2.63G  61%  102.83MB/s    0:00:16  
          2.71G  63%   91.60MB/s    0:00:17  
          2.79G  65%   80.48MB/s    0:00:19  
          2.91G  68%   85.46MB/s    0:00:16  
          3.03G  70%  101.56MB/s    0:00:12  
          3.07G  71%   91.98MB/s    0:00:13  
          3.14G  73%   89.63MB/s    0:00:13  
          3.17G  74%   67.14MB/s    0:00:17  
          3.23G  75%   50.45MB/s    0:00:21  
          3.33G  77%   65.21MB/s    0:00:15  
          3.38G  79%   61.63MB/s    0:00:15  
          3.44G  80%   68.01MB/s    0:00:12  
          3.46G  80%   59.10MB/s    0:00:14  
          3.55G  82%   55.11MB/s    0:00:13  
          3.67G  85%   74.31MB/s    0:00:08  
          3.80G  88%   91.54MB/s    0:00:05  
          3.91G  91%  117.08MB/s    0:00:03  
          4.04G  94%  126.69MB/s    0:00:01  
          4.10G  95%  108.80MB/s    0:00:01  
          4.13G  96%   86.11MB/s    0:00:01  
          4.20G  98%   72.74MB/s    0:00:01  
          4.27G 100%   80.01MB/s    0:00:54 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  78.87M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
         92.69M   2%   92.66MB/s    0:00:47  
        222.84M   5%  111.46MB/s    0:00:38  
        347.84M   7%  116.01MB/s    0:00:35  
        482.84M  11%  120.79MB/s    0:00:33  
        535.59M  12%  110.59MB/s    0:00:35  
        596.34M  13%   93.26MB/s    0:00:41  
        681.84M  15%   83.21MB/s    0:00:45  
        705.09M  16%   55.26MB/s    0:01:08  
        725.84M  16%   47.37MB/s    0:01:18  
        796.59M  18%   49.86MB/s    0:01:13  
        877.09M  20%   48.63MB/s    0:01:13  
        899.84M  20%   48.52MB/s    0:01:13  
        919.84M  21%   48.29MB/s    0:01:13  
        940.53M  21%   35.83MB/s    0:01:38  
       1008.09M  23%   32.67MB/s    0:01:45  
          1.06G  24%   47.20MB/s    0:01:11  
          1.18G  27%   72.26MB/s    0:00:44  
          1.25G  29%   85.81MB/s    0:00:36  
          1.29G  30%   78.03MB/s    0:00:40  
          1.31G  30%   63.56MB/s    0:00:48  
          1.33G  31%   38.40MB/s    0:01:20  
          1.35G  31%   25.17MB/s    0:02:01  
          1.39G  32%   24.69MB/s    0:02:02  
          1.51G  35%   50.72MB/s    0:00:57  
          1.58G  36%   63.73MB/s    0:00:44  
          1.65G  38%   75.13MB/s    0:00:36  
          1.67G  39%   73.39MB/s    0:00:37  
          1.79G  41%   72.33MB/s    0:00:35  
          1.86G  43%   72.63MB/s    0:00:34  
          1.88G  44%   60.93MB/s    0:00:41  
          2.00G  46%   83.69MB/s    0:00:28  
          2.13G  49%   85.25MB/s    0:00:26  
          2.24G  52%   96.73MB/s    0:00:22  
          2.37G  55%  123.12MB/s    0:00:16  
          2.47G  57%  120.95MB/s    0:00:15  
          2.49G  58%   93.88MB/s    0:00:19  
          2.58G  60%   86.14MB/s    0:00:20  
          2.61G  60%   61.52MB/s    0:00:28  
          2.63G  61%   38.97MB/s    0:00:44  
          2.71G  63%   54.43MB/s    0:00:30  
          2.78G  65%   52.23MB/s    0:00:29  
          2.82G  65%   53.26MB/s    0:00:28  
          2.93G  68%   78.65MB/s    0:00:17  
          3.02G  70%   80.74MB/s    0:00:16  
          3.12G  72%   84.85MB/s    0:00:14  
          3.14G  73%   82.90MB/s    0:00:14  
          3.17G  74%   60.27MB/s    0:00:19  
          3.19G  74%   42.44MB/s    0:00:26  
          3.28G  76%   42.38MB/s    0:00:24  
          3.40G  79%   67.86MB/s    0:00:13  
          3.47G  81%   78.07MB/s    0:00:10  
          3.52G  82%   84.14MB/s    0:00:09  
          3.64G  85%   90.82MB/s    0:00:07  
          3.76G  87%   90.07MB/s    0:00:06  
          3.85G  90%   96.80MB/s    0:00:04  
          3.87G  90%   90.50MB/s    0:00:04  
          3.94G  92%   78.69MB/s    0:00:04  
          4.00G  93%   62.86MB/s    0:00:04  
          4.09G  95%   60.80MB/s    0:00:03  
          4.11G  96%   61.36MB/s    0:00:02  
          4.13G  96%   47.67MB/s    0:00:03  
          4.16G  97%   41.59MB/s    0:00:02  
          4.27G 100%   69.48MB/s    0:01:02 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  68.93M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
         63.34M   1%   63.31MB/s    0:01:09  
         83.59M   1%   41.68MB/s    0:01:45  
        103.84M   2%   34.50MB/s    0:02:06  
        210.84M   4%   52.60MB/s    0:01:21  
        337.34M   7%   68.35MB/s    0:01:00  
        358.84M   8%   68.73MB/s    0:00:59  
        410.34M   9%   76.61MB/s    0:00:53  
        448.34M  10%   59.35MB/s    0:01:07  
        478.59M  10%   35.28MB/s    0:01:53  
        500.09M  11%   35.27MB/s    0:01:52  
        521.84M  11%   27.77MB/s    0:02:22  
        606.31M  13%   39.36MB/s    0:01:38  
        629.84M  14%   37.68MB/s    0:01:41  
        650.09M  14%   37.31MB/s    0:01:42  
        709.59M  16%   46.79MB/s    0:01:20  
        732.75M  16%   31.51MB/s    0:01:58  
        771.59M  17%   35.28MB/s    0:01:44  
        796.09M  18%   36.33MB/s    0:01:40  
        817.25M  18%   26.81MB/s    0:02:15  
        884.78M  20%   37.87MB/s    0:01:34  
       1011.34M  23%   59.79MB/s    0:00:57  
          1.01G  23%   59.25MB/s    0:00:57  
          1.03G  24%   59.86MB/s    0:00:56  
          1.05G  24%   48.15MB/s    0:01:10  
          1.07G  25%   21.46MB/s    0:02:36  
          1.09G  25%   21.38MB/s    0:02:35  
          1.12G  26%   21.25MB/s    0:02:35  
          1.14G  26%   21.16MB/s    0:02:35  
          1.15G  27%   21.21MB/s    0:02:34  
          1.25G  29%   41.33MB/s    0:01:16  
          1.28G  29%   41.74MB/s    0:01:15  
          1.40G  32%   66.49MB/s    0:00:45  
          1.45G  33%   74.89MB/s    0:00:39  
          1.55G  36%   74.67MB/s    0:00:38  
          1.57G  36%   73.40MB/s    0:00:38  
          1.62G  37%   58.02MB/s    0:00:47  
          1.71G  39%   66.47MB/s    0:00:40  
          1.73G  40%   47.89MB/s    0:00:55  
          1.76G  41%   48.74MB/s    0:00:54  
          1.78G  41%   39.27MB/s    0:01:06  
          1.89G  44%   45.56MB/s    0:00:54  
          2.01G  47%   70.20MB/s    0:00:33  
          2.12G  49%   91.91MB/s    0:00:24  
          2.14G  49%   91.88MB/s    0:00:24  
          2.18G  50%   74.44MB/s    0:00:29  
          2.26G  52%   63.17MB/s    0:00:33  
          2.34G  54%   56.34MB/s    0:00:36  
          2.47G  57%   85.00MB/s    0:00:22  
          2.58G  60%  103.58MB/s    0:00:17  
          2.69G  62%  111.50MB/s    0:00:14  
          2.75G  64%  105.88MB/s    0:00:15  
          2.77G  64%   77.31MB/s    0:00:20  
          2.84G  66%   66.42MB/s    0:00:22  
          2.96G  69%   68.68MB/s    0:00:20  
          3.07G  71%   81.04MB/s    0:00:15  
          3.09G  72%   81.33MB/s    0:00:15  
          3.11G  72%   68.30MB/s    0:00:17  
          3.13G  73%   43.05MB/s    0:00:27  
          3.19G  74%   32.43MB/s    0:00:34  
          3.21G  75%   32.20MB/s    0:00:34  
          3.30G  77%   47.99MB/s    0:00:21  
          3.32G  77%   47.82MB/s    0:00:20  
          3.39G  79%   50.74MB/s    0:00:18  
          3.51G  82%   76.27MB/s    0:00:10  
          3.63G  85%   85.81MB/s    0:00:07  
          3.75G  87%  111.87MB/s    0:00:04  
          3.85G  90%  115.98MB/s    0:00:03  
          3.98G  93%  118.45MB/s    0:00:02  
          4.01G  93%   95.24MB/s    0:00:02  
          4.08G  95%   83.58MB/s    0:00:02  
          4.11G  96%   66.39MB/s    0:00:02  
          4.13G  96%   38.31MB/s    0:00:04  
          4.18G  97%   45.50MB/s    0:00:02  
          4.22G  98%   35.88MB/s    0:00:01  
          4.27G 100%   58.68MB/s    0:01:14 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  57.97M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
         83.34M   1%   83.31MB/s    0:00:52  
        104.09M   2%   52.03MB/s    0:01:24  
        174.34M   3%   58.10MB/s    0:01:14  
        305.91M   6%   76.49MB/s    0:00:54  
        387.59M   8%   76.10MB/s    0:00:53  
        511.09M  11%  101.78MB/s    0:00:38  
        555.59M  12%   95.12MB/s    0:00:41  
        575.09M  13%   67.06MB/s    0:00:58  
        596.34M  13%   52.01MB/s    0:01:14  
        727.09M  16%   53.83MB/s    0:01:09  
        790.34M  18%   58.64MB/s    0:01:02  
        905.84M  20%   82.69MB/s    0:00:42  
          1.01G  23%  109.96MB/s    0:00:31  
          1.13G  26%  108.40MB/s    0:00:30  
          1.19G  27%  107.12MB/s    0:00:30  
          1.21G  28%   83.58MB/s    0:00:38  
          1.23G  28%   55.94MB/s    0:00:57  
          1.25G  29%   29.77MB/s    0:01:46  
          1.28G  29%   22.42MB/s    0:02:20  
          1.30G  30%   22.84MB/s    0:02:16  
          1.32G  30%   22.72MB/s    0:02:16  
          1.34G  31%   22.83MB/s    0:02:14  
          1.38G  32%   26.97MB/s    0:01:52  
          1.40G  32%   26.02MB/s    0:01:55  
          1.51G  35%   49.45MB/s    0:00:58  
          1.53G  35%   49.20MB/s    0:00:58  
          1.55G  36%   42.89MB/s    0:01:06  
          1.57G  36%   43.07MB/s    0:01:05  
          1.59G  37%   20.14MB/s    0:02:19  
          1.66G  38%   31.51MB/s    0:01:27  
          1.67G  39%   31.25MB/s    0:01:27  
          1.71G  39%   34.95MB/s    0:01:16  
          1.73G  40%   34.52MB/s    0:01:17  
          1.75G  40%   23.31MB/s    0:01:53  
          1.77G  41%   23.37MB/s    0:01:52  
          1.79G  41%   19.51MB/s    0:02:13  
          1.82G  42%   22.74MB/s    0:01:53  
          1.84G  43%   23.11MB/s    0:01:50  
          1.87G  43%   25.27MB/s    0:01:39  
          1.88G  44%   25.33MB/s    0:01:38  
          1.90G  44%   22.14MB/s    0:01:52  
          1.92G  45%   21.78MB/s    0:01:53  
          1.96G  45%   23.58MB/s    0:01:43  
          1.98G  46%   23.51MB/s    0:01:42  
          2.00G  46%   23.50MB/s    0:01:41  
          2.02G  47%   23.52MB/s    0:01:40  
          2.11G  49%   39.15MB/s    0:00:57  
          2.23G  52%   64.49MB/s    0:00:33  
          2.25G  52%   65.43MB/s    0:00:32  
          2.29G  53%   69.15MB/s    0:00:30  
          2.40G  56%   74.66MB/s    0:00:26  
          2.49G  58%   65.38MB/s    0:00:28  
          2.58G  60%   84.12MB/s    0:00:21  
          2.63G  61%   86.89MB/s    0:00:19  
